id,priority,subject,description,status,category,created_at
TCK-20260601,P3,SSO login failures after identity provider metadata refresh,"SSO login failures after identity provider metadata refresh. Routine support request or localized issue. Handle through normal queue prioritization. Initial evidence includes category=Auth, ticket sequence 01, recent deployment history, monitoring alerts, and user-provided screenshots where available.",Open,Auth,2026-06-04T04:30:00
TCK-20260602,P3,Read replica lag causing stale dashboard values,"Read replica lag causing stale dashboard values. Routine support request or localized issue. Handle through normal queue prioritization. Initial evidence includes category=Database, ticket sequence 02, recent deployment history, monitoring alerts, and user-provided screenshots where available.",Open,Database,2026-06-03T23:30:00
TCK-20260603,P2,Canary deployment failed readiness probe in staging,"Canary deployment failed readiness probe in staging. Service degradation reported by an internal team. Workaround may exist but needs owner confirmation. Initial evidence includes category=Deployment, ticket sequence 03, recent deployment history, monitoring alerts, and user-provided screenshots where available.",Resolved,Deployment,2026-06-03T18:30:00
TCK-20260604,P1,VPN users unable to resolve internal DNS zone,"VPN users unable to resolve internal DNS zone. Customer-facing impact reported by multiple business units. Immediate triage bridge required. Initial evidence includes category=Network, ticket sequence 04, recent deployment history, monitoring alerts, and user-provided screenshots where available.",In Progress,Network,2026-06-03T13:30:00
TCK-20260605,P2,User needs production read-only access for incident review,"User needs production read-only access for incident review. Service degradation reported by an internal team. Workaround may exist but needs owner confirmation. Initial evidence includes category=Access, ticket sequence 05, recent deployment history, monitoring alerts, and user-provided screenshots where available.",In Progress,Access,2026-06-03T08:30:00
TCK-20260606,P2,MFA push approval delayed for remote users,"MFA push approval delayed for remote users. Service degradation reported by an internal team. Workaround may exist but needs owner confirmation. Initial evidence includes category=Auth, ticket sequence 06, recent deployment history, monitoring alerts, and user-provided screenshots where available.",Open,Auth,2026-06-03T03:30:00
TCK-20260607,P3,Connection pool exhaustion on customer analytics service,"Connection pool exhaustion on customer analytics service. Routine support request or localized issue. Handle through normal queue prioritization. Initial evidence includes category=Database, ticket sequence 07, recent deployment history, monitoring alerts, and user-provided screenshots where available.",Open,Database,2026-06-02T22:30:00
TCK-20260608,P3,Kafka consumer rollout stuck after config map update,"Kafka consumer rollout stuck after config map update. Routine support request or localized issue. Handle through normal queue prioritization. Initial evidence includes category=Deployment, ticket sequence 08, recent deployment history, monitoring alerts, and user-provided screenshots where available.",Resolved,Deployment,2026-06-02T17:30:00
TCK-20260609,P2,Packet loss detected between application subnet and database subnet,"Packet loss detected between application subnet and database subnet. Service degradation reported by an internal team. Workaround may exist but needs owner confirmation. Initial evidence includes category=Network, ticket sequence 09, recent deployment history, monitoring alerts, and user-provided screenshots where available.",In Progress,Network,2026-06-02T12:30:00
TCK-20260610,P2,Quarterly access recertification missing application owner approval,"Quarterly access recertification missing application owner approval. Service degradation reported by an internal team. Workaround may exist but needs owner confirmation. Initial evidence includes category=Access, ticket sequence 10, recent deployment history, monitoring alerts, and user-provided screenshots where available.",In Progress,Access,2026-06-02T07:30:00
TCK-20260611,P1,Service account token expired during overnight job,"Service account token expired during overnight job. Customer-facing impact reported by multiple business units. Immediate triage bridge required. Initial evidence includes category=Auth, ticket sequence 11, recent deployment history, monitoring alerts, and user-provided screenshots where available.",Open,Auth,2026-06-02T02:30:00
TCK-20260612,P2,Slow query detected on incidents reporting table,"Slow query detected on incidents reporting table. Service degradation reported by an internal team. Workaround may exist but needs owner confirmation. Initial evidence includes category=Database, ticket sequence 12, recent deployment history, monitoring alerts, and user-provided screenshots where available.",Open,Database,2026-06-01T21:30:00
TCK-20260613,P3,Container image rejected by vulnerability admission policy,"Container image rejected by vulnerability admission policy. Routine support request or localized issue. Handle through normal queue prioritization. Initial evidence includes category=Deployment, ticket sequence 13, recent deployment history, monitoring alerts, and user-provided screenshots where available.",Resolved,Deployment,2026-06-01T16:30:00
TCK-20260614,P3,Firewall rule missing for vendor integration endpoint,"Firewall rule missing for vendor integration endpoint. Routine support request or localized issue. Handle through normal queue prioritization. Initial evidence includes category=Network, ticket sequence 14, recent deployment history, monitoring alerts, and user-provided screenshots where available.",In Progress,Network,2026-06-01T11:30:00
TCK-20260615,P2,Contractor access group expired before project completion,"Contractor access group expired before project completion. Service degradation reported by an internal team. Workaround may exist but needs owner confirmation. Initial evidence includes category=Access, ticket sequence 15, recent deployment history, monitoring alerts, and user-provided screenshots where available.",In Progress,Access,2026-06-01T06:30:00
TCK-20260616,P3,OAuth redirect mismatch for internal admin console,"OAuth redirect mismatch for internal admin console. Routine support request or localized issue. Handle through normal queue prioritization. Initial evidence includes category=Auth, ticket sequence 16, recent deployment history, monitoring alerts, and user-provided screenshots where available.",Open,Auth,2026-06-01T01:30:00
TCK-20260617,P3,Backup verification failed for finance PostgreSQL cluster,"Backup verification failed for finance PostgreSQL cluster. Routine support request or localized issue. Handle through normal queue prioritization. Initial evidence includes category=Database, ticket sequence 17, recent deployment history, monitoring alerts, and user-provided screenshots where available.",Open,Database,2026-05-31T20:30:00
TCK-20260618,P1,Blue green deployment did not shift traffic as expected,"Blue green deployment did not shift traffic as expected. Customer-facing impact reported by multiple business units. Immediate triage bridge required. Initial evidence includes category=Deployment, ticket sequence 18, recent deployment history, monitoring alerts, and user-provided screenshots where available.",Resolved,Deployment,2026-05-31T15:30:00
TCK-20260619,P3,Load balancer health checks failing from one region,"Load balancer health checks failing from one region. Routine support request or localized issue. Handle through normal queue prioritization. Initial evidence includes category=Network, ticket sequence 19, recent deployment history, monitoring alerts, and user-provided screenshots where available.",In Progress,Network,2026-05-31T10:30:00
TCK-20260620,P2,Privileged role request requires emergency approval,"Privileged role request requires emergency approval. Service degradation reported by an internal team. Workaround may exist but needs owner confirmation. Initial evidence includes category=Access, ticket sequence 20, recent deployment history, monitoring alerts, and user-provided screenshots where available.",In Progress,Access,2026-05-31T05:30:00
